url,guessed_selector
https://www.iisd.org/events/industrial-policy-and-trade-key-developments,main:nth-of-type(1)
https://www.brighttalk.com/webcast/13051/662585?size=10&rank=-webcast_relevance&duration=0..&contentType=webcast&q=esg,main:nth-of-type(1)
https://hub.wri.org/events/2026/3/transforming-transportation-2026-powering-jobs-and-growth?returnTo=https%3A%2F%2Fwww.wri.org%2Fevents,main:nth-of-type(1)
https://hub.wri.org/events/2026/3/4th-annual-paratransit-popular-transportation-day-transforming-transportation-2026?returnTo=https%3A%2F%2Fwww.wri.org%2Fevents,main:nth-of-type(1)
https://hub.wri.org/scaling-green-infrastructure-resilient-rwanda?returnTo=https%3A%2F%2Fwww.wri.org%2Fevents,main:nth-of-type(1)
https://www.oecd.org/en/events/2026/03/advancing-a-just-green-transition-in-cities.html,main:nth-of-type(1)
https://www.oecd.org/en/events/2026/03/powering-the-future-driving-the-energy-transition-in-regions.html,main:nth-of-type(1)
https://www.oecd.org/en/events/2026/03/leveraging-defence-investments-for-regional-development-on-the-road-to-the-oecd-global-forum-on-local-development-in-limburg.html,main:nth-of-type(1)
https://www.oecd.org/en/events/2026/03/the-oecd-principles-on-rural-policy-series-rural-proofing-workshop-what-is-rural-proofing-intelligence.html,main:nth-of-type(1)
https://iceds.anu.edu.au/news-events/events/antarctica-ice-shapes-our-world,div:nth-of-type(1)
https://www.aicd.com.au/events/all-events/nsw/EV169069.html,main:nth-of-type(1)
https://www.iisd.org/events/industrial-policy-and-trade-key-developments,main:nth-of-type(1)
https://unglobalcompact.org.au/events/greenwashing-time-to-stop-the-spin-cycle-march-2026/,div:nth-of-type(1)
https://www.environmental-finance.com/content/events/content/webinars/sustainable-bond-insights-whats-next-for-the-sustainable-bond-market.html,article:nth-of-type(1)
https://iceds.anu.edu.au/news-events/events/antarctica-ice-shapes-our-world,div:nth-of-type(1)
https://www.brighttalk.com/webcast/13051/662585?size=10&rank=-webcast_relevance&duration=0..&contentType=webcast&q=esg,main:nth-of-type(1)
https://www.aicd.com.au/events/all-events/nsw/EV169069.html,main:nth-of-type(1)
https://hub.wri.org/events/2026/3/transforming-transportation-2026-powering-jobs-and-growth?returnTo=https%3A%2F%2Fwww.wri.org%2Fevents,main:nth-of-type(1)
https://hub.wri.org/events/2026/3/4th-annual-paratransit-popular-transportation-day-transforming-transportation-2026?returnTo=https%3A%2F%2Fwww.wri.org%2Fevents,main:nth-of-type(1)
https://hub.wri.org/scaling-green-infrastructure-resilient-rwanda?returnTo=https%3A%2F%2Fwww.wri.org%2Fevents,main:nth-of-type(1)
https://www.iisd.org/events/industrial-policy-and-trade-key-developments,main:nth-of-type(1)
https://unglobalcompact.org.au/events/greenwashing-time-to-stop-the-spin-cycle-march-2026/,div:nth-of-type(1)
https://www.oecd.org/en/events/2026/03/advancing-a-just-green-transition-in-cities.html,main:nth-of-type(1)
https://www.oecd.org/en/events/2026/03/powering-the-future-driving-the-energy-transition-in-regions.html,main:nth-of-type(1)
https://www.oecd.org/en/events/2026/03/leveraging-defence-investments-for-regional-development-on-the-road-to-the-oecd-global-forum-on-local-development-in-limburg.html,main:nth-of-type(1)
https://www.oecd.org/en/events/2026/03/the-oecd-principles-on-rural-policy-series-rural-proofing-workshop-what-is-rural-proofing-intelligence.html,main:nth-of-type(1)
https://www.responsibleinvestment.org/events-news/item/nature-working-group-meeting-1-2026,main:nth-of-type(1)
https://www.environmental-finance.com/content/events/content/webinars/sustainable-bond-insights-whats-next-for-the-sustainable-bond-market.html,article:nth-of-type(1)
https://www.eventbrite.com.au/e/climate-fresk-solve-the-climate-puzzle-23m-participants-worldwide-tickets-1979449442568?aff=ebdssbdestsearch,main:nth-of-type(1)
https://www.eventbrite.com.au/e/what-is-a-carbon-footprint-and-how-to-reduce-it-tickets-1982743839197?aff=ebdssbdestsearch,main:nth-of-type(1)
https://www.eventbrite.com.au/e/doughnut-design-for-businesstm-doughnut-economics-for-organisations-tickets-1979104308262?aff=ebdssbdestsearch,main:nth-of-type(1)
https://www.eventbrite.com.au/e/doughnut-design-for-businesstm-doughnut-economics-for-organisations-tickets-1979449214887?aff=ebdssbdestsearch,main:nth-of-type(1)
https://www.eventbrite.com.au/e/doughnut-design-for-businesstm-doughnut-economics-for-organisations-tickets-1979685748365?aff=ebdssbdestsearch,main:nth-of-type(1)
https://www.eventbrite.com.au/e/doughnut-design-for-businesstm-doughnut-economics-for-organisations-tickets-1979685538738?aff=ebdssbdestsearch,main:nth-of-type(1)
https://www.eventbrite.com.au/e/doughnut-design-for-businesstm-doughnut-economics-for-organisations-tickets-1979449316190?aff=ebdssbdestsearch,main:nth-of-type(1)
https://www.brighttalk.com/webcast/13051/662585?size=10&rank=-webcast_relevance&duration=0..&contentType=webcast&q=esg,main:nth-of-type(1)
https://hub.wri.org/events/2026/3/transforming-transportation-2026-powering-jobs-and-growth?returnTo=https%3A%2F%2Fwww.wri.org%2Fevents,main:nth-of-type(1)
https://hub.wri.org/events/2026/3/4th-annual-paratransit-popular-transportation-day-transforming-transportation-2026?returnTo=https%3A%2F%2Fwww.wri.org%2Fevents,main:nth-of-type(1)
https://hub.wri.org/scaling-green-infrastructure-resilient-rwanda?returnTo=https%3A%2F%2Fwww.wri.org%2Fevents,main:nth-of-type(1)
https://hub.wri.org/enabling-women-leaders-building-equitable-inclusive-and-climate-resilient-cities?returnTo=https%3A%2F%2Fwww.wri.org%2Fevents,main:nth-of-type(1)
https://www.oecd.org/en/events/2026/03/advancing-a-just-green-transition-in-cities.html,main:nth-of-type(1)
https://www.oecd.org/en/events/2026/03/powering-the-future-driving-the-energy-transition-in-regions.html,main:nth-of-type(1)
https://www.oecd.org/en/events/2026/03/leveraging-defence-investments-for-regional-development-on-the-road-to-the-oecd-global-forum-on-local-development-in-limburg.html,main:nth-of-type(1)
https://www.oecd.org/en/events/2026/03/the-oecd-principles-on-rural-policy-series-rural-proofing-workshop-what-is-rural-proofing-intelligence.html,main:nth-of-type(1)
https://www.oecd.org/en/events/2026/03/global-forum-on-the-environment-and-climate-change-march-2026.html,main:nth-of-type(1)
https://unglobalcompact.org.au/events/greenwashing-time-to-stop-the-spin-cycle-march-2026/,div:nth-of-type(1)
https://www.iisd.org/events/industrial-policy-and-trade-key-developments,main:nth-of-type(1)
https://www.iisd.org/events/enabling-women-leaders-building-equitable-inclusive-and-climate-resilient-cities,main:nth-of-type(1)
https://www.aicd.com.au/events/all-events/nsw/EV169069.html,main:nth-of-type(1)
https://www.aicd.com.au/events/all-events/nsw/EVNT-001053.html,main:nth-of-type(1)
https://www.aicd.com.au/events/all-events/qld/EVNT-001059.html,main:nth-of-type(1)
https://www.eventbrite.com.au/e/what-is-a-carbon-footprint-and-how-to-reduce-it-tickets-1982743839197?aff=ebdssbdestsearch,main:nth-of-type(1)
https://www.eventbrite.com.au/e/yin-yoga-and-sound-healing-tickets-1250990509289?aff=ebdssbdestsearch,main:nth-of-type(1)
https://www.eventbrite.com.au/e/climate-fresk-solve-the-climate-puzzle-23m-participants-worldwide-tickets-1979449442568?aff=ebdssbdestsearch,main:nth-of-type(1)
https://www.eventbrite.com.au/e/workshop-making-quick-pickles-tickets-1980349824635?aff=ebdssbdestsearch,main:nth-of-type(1)
https://www.eventbrite.com.au/e/building-resilience-workshop-wellbeing-for-business-owners-tickets-1977007874773?aff=ebdssbdestsearch,main:nth-of-type(1)
