url,guessed_selector
https://www.apsjobs.gov.au/s/job-details?title=assistant-board-secretary&Id=a05OY00000LnCvEYAR,
https://www.apsjobs.gov.au/s/job-details?title=chief-general-counsel&Id=a05OY00000LjGcPYAV,article:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=chief-financial-officer&Id=a05OY00000LjCCEYA3,article:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=temporary-employment-register-2025-26&Id=a05OY00000E0p2VYAR,article:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=general-manager-compliance-and-enforcement&Id=a05OY00000MMjwHYAT,article:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=el1-assistant-director-workplace-relations&Id=a05OY00000MM7SpYAL,section:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=assistant-director-whs-inclusion-wellbeing&Id=a05OY00000MM04kYAD,article:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=director-international-group&Id=a05OY00000MLj77YAD,article:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=aps6-senior-programs-officer-regional-connectivity&Id=a05OY00000MLBTdYAP,article:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=senior-procurement-officer&Id=a05OY00000MHkBSYA1,section:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=el1-senior-lawyer-commercial-law&Id=a05OY00000M2V1SYAV,article:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=finance-officer-assistant-accountant-102445-&Id=a05OY00000MFkSTYA1,article:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=aps6-senior-project-officer-classification&Id=a05OY00000MDIyYYAX,section:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=director-conservation-science&Id=a05OY00000MCpgPYAT,section:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=financial-accountant&Id=a05OY00000M7eldYAB,article:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=chief-executive-officer-national-environmental-protection-agency-statutory-appointment-&Id=a05OY00000M7AUFYA3,article:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=payroll-officer&Id=a05OY00000M5iTdYAJ,article:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=general-manager-aer-corporate&Id=a05OY00000M5QJmYAN,section:nth-of-type(1)
https://www.apsjobs.gov.au/s/job-details?title=general-manager-aer-legal-and-assurance-general-counsel-&Id=a05OY00000M5P7ZYAV,section:nth-of-type(1)
https://www.seek.com.au/job/90610099?type=promoted&ref=search-standalone&origin=cardTitle#sol=799e55c3c2e0b9ab4109c45f7baeb6ccdf01e168,section:nth-of-type(1)
https://www.seek.com.au/job/90609391?type=promoted&ref=search-standalone&origin=cardTitle#sol=64b2225479e8200897f55f8789cbd275a85f71fe,div:nth-of-type(1)
https://www.seek.com.au/job/90584888?type=standard&ref=search-standalone#sol=508281ddbe0c4ec3ef37f974200466e31fe68a9e,section:nth-of-type(1)
https://www.seek.com.au/job/90579446?type=standard&ref=search-standalone&origin=cardTitle#sol=1e3f0e4dff061922ebde16d630e26d02a4ffb812,div:nth-of-type(1)
https://www.seek.com.au/job/90594187?type=standard&ref=search-standalone&origin=cardTitle#sol=559fa545b462173d4f0ac40e3f9420b4c3f40019,div:nth-of-type(1)
https://www.seek.com.au/job/90628664?type=standard&ref=search-standalone&origin=cardTitle#sol=4de39b5607fa2350df3f3a3d44a2287cb46ec715,div:nth-of-type(1)
https://www.seek.com.au/job/90606982?type=standard&ref=search-standalone&origin=cardTitle#sol=2b17c1042b9327b9e062ced9100d4c3f9cb63e41,section:nth-of-type(1)
https://www.seek.com.au/job/90575633?type=standard&ref=search-standalone&origin=cardTitle#sol=bd44150342c001c8454538bd020b668dc46dd35f,section:nth-of-type(1)
https://www.seek.com.au/job/90573967?type=standard&ref=search-standalone&origin=cardTitle#sol=e8f3b85ee8d5a6967c246586010d0bd8ab7cec86,section:nth-of-type(1)
https://www.seek.com.au/job/90617693?type=standard&ref=search-standalone&origin=cardTitle#sol=199919a948be01608dbe798f894164504d37007f,div:nth-of-type(2)
https://www.seek.com.au/job/90618183?type=standard&ref=search-standalone&origin=cardTitle#sol=b62a67effc0f964e452861764426f33b55dbeb6e,section:nth-of-type(1)
https://www.seek.com.au/job/90589904?type=standard&ref=search-standalone&origin=cardTitle#sol=4484a36259d70244e1ed9b49bf069ab7e3fc1414,section:nth-of-type(1)
https://www.seek.com.au/job/90579023?type=standard&ref=search-standalone&origin=cardTitle#sol=bdc666496880dc1e0f306fc52a8db57b8e9c949b,section:nth-of-type(1)
https://www.seek.com.au/job/90575025?type=standard&ref=search-standalone&origin=cardTitle#sol=0628fd6da31f93889d0ec35a5696941f7cf2c6a2,div:nth-of-type(1)
https://www.seek.com.au/job/90587933?type=standard&ref=search-standalone&origin=cardTitle#sol=a615f5a2db4389a29e981f601e0ae82bee29b38b,section:nth-of-type(1)
https://www.seek.com.au/job/90585357?type=promoted&ref=search-standalone&origin=cardTitle#sol=98fbd696bd0f2876665be1b1de83cc3ee5cc602a,div:nth-of-type(1)
https://www.seek.com.au/job/90574360?type=promoted&ref=search-standalone&origin=cardTitle#sol=e2d5f7f9616a0ac665827ef67150e303f9685731,div:nth-of-type(1)
